station_id,is_installed,is_renting,is_returning,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_scooters_available,num_scooters_unavailable,last_reported,num_classic_available
2113559364250874028,0,0,0,0,0,0,0,0,,,1764175134,0
5d17f129-af8c-4f30-bc58-6a8279052772,0,0,0,0,0,0,0,0,,,1762789199,0
a6d6d4b2-3666-43ad-a690-7f676bdcc3fd,0,0,0,0,0,0,0,0,,,1762269902,0
f834e75d-0de8-11e7-991c-3863bb43a7d0,0,0,0,0,0,0,0,0,,,1763410595,0
829fa5a8-cc88-4ab2-9f34-b481aaa1612e,0,0,0,0,0,0,0,0,,,86400,0
f8347ded-0de8-11e7-991c-3863bb43a7d0,0,0,0,0,0,0,0,0,,,86400,0
eed9e64f-f09d-43c1-aa31-da968c66750a,0,0,0,0,0,0,0,0,,,86400,0
f8348719-0de8-11e7-991c-3863bb43a7d0,0,0,0,0,0,0,0,0,,,86400,0
8e7c1984-dc81-43b0-a0d3-58c6de45225a,0,0,0,0,0,0,0,0,,,86400,0
6eaa7343-402d-41c9-9aac-8c664fdbdcf1,0,0,0,0,0,0,0,0,,,86400,0
acb27827-d69a-4287-b132-3f529ca62ad2,0,0,0,0,0,0,0,0,,,86400,0
133d159e-a202-4310-910f-eca392fe181e,1,0,0,0,0,3,15,0,0,0,1771453940,0
2129149628430547474,1,1,1,1,0,0,15,0,0,0,1771512031,1
1991921362058752616,1,1,1,20,13,0,0,0,0,0,1771512055,7
569f4952-5a25-4394-a419-f9c4d9cca6f3,1,1,1,7,0,0,12,0,0,0,1771512061,7
e4d5271f-5f76-401b-b7f0-c8dce3c26f10,1,1,1,5,0,0,6,0,0,0,1771512061,5
4d953f0f-13b5-4b3d-b2da-342003ff7cba,1,1,1,5,0,0,6,0,0,0,1771512061,5
f8346c96-0de8-11e7-991c-3863bb43a7d0,1,1,1,19,6,0,6,0,0,0,1771512060,13
